Date,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (hours),Apple Stand Time (min),Cardio Recovery (count/min),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),VO2 Max (ml/(kg·min)),N - Apple Exercise Time (min),N - Active Energy (kcal),N - VO2 Max (ml/(kg·min)),N - Heart Rate Variability (ms),N - Apple Stand Time (min),N - Sleep Analysis [Total] (hr),N - Sleep Analysis [Core] (hr),N - Sleep Analysis [Deep] (hr),N - Sleep Analysis [REM] (hr),N - Heart Rate [Min] (bpm),N - Respiratory Rate (count/min),Health Score
2025-05-13,585.07,11.0,14.0,129.0,,49.0,154.0,72.51,60.49,18.37,6.983333333333333,1.9166666666666663,2.6416666666666666,1.025,1.3999999999999997,0.475,45.13119332585743,0.0,0.23545463770499428,0.5216499059459623,0.4811781478448146,0.3253968253968254,0.3786508524833212,0.0,0.4912280701754388,0.2688582330496037,0.5821851348728894,0.0,0.36434547200635564
2025-05-14,783.73,23.0,13.0,260.0,,47.0,122.0,68.5,72.67,17.31,8.183333333333334,0.0,4.083333333333333,1.6166666666666667,2.4833333333333334,0.1916666666666666,47.93422147118427,0.17441860465116277,0.43406667289849504,0.9489743400536715,0.8506385173051841,0.9369747899159664,0.8056338028169022,0.48671993090045335,1.0,1.0,0.7762468464971858,0.16506639427987752,0.7688161746282666
2025-05-15,676.11,12.0,14.0,149.0,,44.0,140.0,71.85,68.94,17.68,8.783333333333333,1.2583333333333333,4.308333333333333,0.9416666666666668,2.275,0.0499999999999999,48.31179847572123,0.01453488372093023,0.32647265685336996,1.0,0.7374950708284042,0.41876750700280113,1.0,0.6033254156769593,0.3742690058479536,0.8852362782506609,1.0,0.013891726251276383,0.6806364372511071
2025-05-16,1097.0,75.0,14.0,259.0,,50.0,145.0,82.94,56.34,16.85,5.841666666666667,0.0,3.141666666666666,1.1,1.6,0.2166666666666666,43.63361437373828,0.9302325581395348,0.747261036459695,0.29334250228579983,0.3552946886280221,0.9323062558356676,0.0,0.0,0.596491228070176,0.40974464338127414,0.4851542790607411,0.3530132788559746,0.4343592416890077
2025-05-17,465.3,12.0,13.0,102.0,,53.0,119.0,82.48,53.97,17.171094280201153,7.0772012578616295,,4.2251572327043965,0.9709119496855347,1.766823899371066,0.1377650011008268,45.560895519061106,0.01453488372093023,0.11571355517642488,0.5871584335188064,0.28340461673795003,0.19934640522875818,0.41205085528063934,0.5602196844073746,0.4153150171025051,0.5272607450808805,0.19406171162429645,0.22182051881464598,0.3832311653536362
2025-05-18,655.66,22.0,17.0,150.0,,50.0,150.0,77.96,48.82,17.32,7.999999999999998,1.1,4.391666666666666,0.675,1.833333333333333,0.1916666666666666,46.042600380120355,0.15988372093023254,0.3060275943359678,0.6605948196293977,0.1271877938544605,0.42343604108309996,0.7404002965159378,0.6465126322608502,0.0,0.5741121221015557,0.4851542790607411,0.16098059244126606,0.42357035846172364
2025-05-19,733.95,50.0,15.0,153.0,,49.0,133.0,77.79,61.19,17.51,7.166666666666667,0.0,4.7,0.8083333333333333,1.6583333333333332,0.3166666666666667,43.17,0.566860465116279,0.3842986918659144,0.22266402899533266,0.5024115024115023,0.4374416433239963,0.44388435878428506,0.8063053336212481,0.1871345029239767,0.4508365130613445,0.5821851348728894,0.08335035750765975,0.39223770975939926
2025-05-20,912.44,47.0,14.0,100.0,30.37,51.0,167.0,94.43,30.16,16.547827430357817,7.077201257861625,,4.225157232704391,0.9709119496855363,1.766823899371063,0.13923333977525842,42.57,0.5232558139534883,0.5627455969383395,0.13119343106641682,0.0,0.19000933706816062,0.4120508552806378,0.5602196844073718,0.41531501710250734,0.5272607450808783,0.3881234232485929,0.47647500291815437,0.3396263012906059
2025-05-21,1088.0,55.0,16.0,123.0,,55.0,166.0,96.08,49.9,15.25,7.0772012578616375,,4.2251572327044045,0.9709119496855363,1.766823899371065,0.19371873211385626,43.15487050894227,0.6395348837209301,0.7382632094349215,0.220357523006314,0.1599478266144932,0.29738562091503273,0.4120508552806422,0.5602196844073787,0.41531501710250734,0.5272607450808797,0.0,1.0,0.39697247053309426
2025-05-22,684.19,22.0,14.0,147.0,,50.0,153.0,78.03,54.52,15.91,7.041666666666666,0.0,4.708333333333333,0.6416666666666667,1.6916666666666669,0.15,44.82238356967433,0.15988372093023254,0.3345507060045,0.4745715508720439,0.3000879667546335,0.4094304388422036,0.39940696812453674,0.810624055279637,0.0,0.4743175814499564,0.4851542790607411,0.7370786516853932,0.4331693363995627
2025-05-23,424.82,15.0,13.0,76.0,,49.0,108.0,69.09,68.16,16.62,7.183333333333333,0.0,4.2749999999999995,0.9083333333333332,2.0,0.0416666666666666,45.25722021099828,0.05813953488372092,0.0752433287361102,0.5408628301775488,0.7138350471683805,0.07796451914098974,0.4498146775389178,0.5860505290434028,0.3274853801169591,0.6915174640446144,0.5821851348728894,0.44698672114402394,0.4628571243936791
2025-05-24,1664.0,158.0,18.0,346.0,30.37,48.0,154.0,98.42,55.87,16.49,7.708333333333333,0.0,4.333333333333333,0.9083333333333332,2.466666666666667,0.0583333333333333,43.15,1.0,1.0,0.21961500906436832,0.3410380077046743,1.0,0.6366197183098595,0.6162815806521268,0.3274853801169591,1.0,0.6792159906850376,0.5001021450459657,0.5763109554342701
